library,Keyword,ML_Category,Link
tensorflow,.predict(,Consumer,https://www.tensorflow.org/tutorials/estimator/premade
chainer,.Evaluator(,Consumer,https://docs.chainer.org/en/stable/reference/generated/chainer.training.extensions.Evaluator.html#chainer.training.extensions.Evaluator
chainer,.make_extension(,Consumer,https://docs.chainer.org/en/stable/reference/training.html#trainer
fastai,.get_preds(,Consumer,https://docs.fast.ai/learner.html
fastai,.plot_top_losses(,Consumer,https://docs.fast.ai/interpret.html
fastai,.predict(,Consumer,https://docs.fast.ai/learner.html
fastai,.validate(,Consumer,https://docs.fast.ai/learner.html
h2o,.get_model(,Consumer,https://docs.h2o.ai/h2o/latest-stable/h2o-py/docs/h2o.html
h2o,.predict_leaf_node_assignment(,Consumer,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/performance-and-prediction.html#in-memory-prediction
h2o,.predict(,Consumer,https://docs.h2o.ai/h2o/latest-stable/h2o-docs/performance-and-prediction.html#in-memory-prediction
keras,.predict_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
keras,.predict(,Consumer,https://keras.io/api/models/model_training_apis/
keras,.test_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
tensorflow,.predict_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
tensorflow,.predict(,Consumer,https://keras.io/api/models/model_training_apis/
tensorflow,.test_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
lightgbm,.predict(,Consumer,https://lightgbm.readthedocs.io/en/latest/Python-Intro.html
lightgbm,predict(,Consumer,https://lightgbm.readthedocs.io/en/latest/R/reference/predict.lgb.Booster.html?highlight=predict
mxnet,.predict_mode(,Consumer,https://mxnet.apache.org/versions/1.7/api/python/docs/api/autograd/index.html
mxnet,pretrained=True,Consumer,https://mxnet.apache.org/versions/1.7/api/python/docs/tutorials/getting-started/crash-course/5-predict.html
torch,.no_grad(,Consumer,https://pytorch.org/docs/stable/generated/torch.no_grad.html#torch.no_grad
torch,.forward(,Consumer,https://pytorch.org/tutorials/beginner/basics/autogradqs_tutorial.html#
sklearn,.predict_proba(,Consumer,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibratedClassifierCV.html#sklearn.calibration.CalibratedClassifierCV.predict_proba
sklearn,.predict(,Consumer,https://scikit-learn.org/stable/modules/linear_model.html
sklearn,.set_predict_request(,Consumer,https://scikit-learn.org/stable/modules/generated/sklearn.ensemble.StackingRegressor.html#sklearn.ensemble.StackingRegressor.set_fit_request
sklearn,predict_proba(,Consumer,https://scikit-learn.org/stable/modules/generated/sklearn.calibration.CalibratedClassifierCV.html#sklearn.calibration.CalibratedClassifierCV.predict_proba
xgboost,.inplace_predict(,Consumer,https://xgboost.readthedocs.io/en/stable/prediction.html
xgboost,.predict_proba(,Consumer,https://xgboost.readthedocs.io/en/stable/prediction.html
xgboost,.predict(,Consumer,https://xgboost.readthedocs.io/en/stable/prediction.html
tensorflow,.predict_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
tensorflow,.predict(,Consumer,https://keras.io/api/models/model_training_apis/
tensorflow,.test_on_batch,Consumer,https://keras.io/api/models/model_training_apis/
