ProjectName,Is_Real_ML_consumer,Is_ML_consumer
aaronlam88/cmpe295,No,Yes
agusgun/FakeImageDetector,No,Yes
ai-med/nn-common-modules,No,Yes
alvarowolfx/gcloud-iot-edge-tensorflow,No,Yes
arose13/rosey,No,Yes
AssembleSoftware/IoTPy,No,Yes
YU1ut/MixMatch-pytorch,No,Yes
BannyStone/Video_Classification_PyTorch,No,Yes
bat67/TibetanMNIST,No,Yes
bfortuner/pytorch_tiramisu,No,Yes
biocore/calour,No,Yes
chaitjo/regression-stock-prediction,No,Yes
chaitjo/working-women,No,Yes
Chicoryn/dream-go,No,Yes
ClaudiuGeorgiu/RiskInDroid,No,Yes
CLUEbenchmark/CLUE,No,Yes
CynthiaKoopman/Network-Intrusion-Detection,No,Yes
cytadela8/trypophobia,No,Yes
DakshMiglani/Credit-Card-Fraud,No,Yes
darribas/satellite_led_liverpool,No,Yes
davidhaohanli/Abnormal-Behaviour-Detection,No,Yes
dfcf93/MSMARCO,No,Yes
domschl/tensor-poet,No,Yes
yuhaozhang/summarize-radiology-findings,No,Yes
earhian/Humpback-Whale-Identification-1st-,No,Yes
yuzcccc/vqa-mfb,No,Yes
elcolumbio/mlrepricer,No,Yes
frogermcs/MNIST-TFLite,No,Yes
GT-RIPL/L2C,No,Yes
GuitarsAI/BasicsMusicalInstrumClassifi,No,Yes
hackingmaterials/automatminer,No,Yes
hedrox/ecg-classification,No,Yes
Hellcatzm/TransforLearning_TensorFlow,No,Yes
hoya012/pytorch-peleenet,No,Yes
IlyaGusev/rnnmorph,No,Yes
j05t/emnist,No,Yes
jamesgeorge007/Gender-Classifier,No,Yes
JasonKessler/scattertext,No,Yes
JGuymont/vae-anomaly-detector,No,Yes
jhasuman/potholes-detection,No,Yes
koshian2/affinity-loss,No,Yes
krasserm/face-recognition,No,Yes
jantic/DeOldify,No,Yes
lijx10/SO-Net,No,Yes
loretoparisi/bert-movie-reviews-sentiment-classifier,No,Yes
LoSealL/VideoSuperResolution,No,Yes
MingtaoGuo/CNN-for-Chinese-Calligraphy-Styles-classification,No,Yes
mingyangShang/SeqViews2SeqLabels,No,Yes
msahamed/lending_loan_prediction,No,Yes
msurtsukov/neural-ode,No,Yes
mtobeiyf/audio-classification,No,Yes
napsternxg/TwitterNER,No,Yes
NCBI-Hackathons/Semantic-search-log-analysis-pipeline,No,Yes
ncullen93/torchsample,No,Yes
neka-nat/image_completion_keras,No,Yes
NIHOPA/word2vec_pipeline,No,Yes
ocatak/malware_api_class,No,Yes
oduwa/Pic-Numero,No,Yes
olivesgatech/facies_classification_benchmark,No,Yes
Open-Debin/Emotion-FAN,No,Yes
otenim/AnomalyDetectionUsingAutoencoder,No,Yes
peterwhycs/T-BEAR,No,Yes
policeme/chinese-bert-similarity,No,Yes
policeme/transformer-pointer-generator,No,Yes
polo8214/Brain-tumor-segmentation-using-deep-learning,No,Yes
PPPLDeepLearning/plasma-python,No,Yes
PratikBarhate/question-classification,No,Yes
PurduePAML/TrojanNN,No,Yes
pycroscopy/pycroscopy,No,Yes
ranjiewwen/TF_EnhanceDPED,No,Yes
RBirkeland/MVCNN-PyTorch,No,Yes
renjunxiang/Text-Classification,No,Yes
rouyang2017/SISSO,No,Yes
sakuranew/BERT-AttributeExtraction,No,Yes
scvae/scvae,No,Yes
slanglab/freq-e,No,Yes
sonoisa/code2vec,No,Yes
svip-lab/PlanarReconstruction,No,Yes
kdexd/virtex,No,Yes
tangkk/tangkk-mirex-ace,No,Yes
TetsumichiUmada/text2emoji,No,Yes
tfunck/minc_keras,No,Yes
titipata/detecting-scientific-claim,No,Yes
WLM1ke/poptimizer,No,Yes
wouterdewinter/deep-hive,No,Yes
wvangansbeke/LaneDetection_End2End,No,Yes
yassineAlouini/kaggle-tools,No,Yes
yselivonchyk/Tensorflow_WhatWhereAutoencoder,No,Yes
YuliangXiu/MobilePose-pytorch,No,Yes
ziqizhang/chase,No,Yes
MrGiovanni/ModelsGenesis,No,Yes
