ProjectName,Is ML consumer,libraries,where,keywords,line_number
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,175
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,176
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,249
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,250
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,262
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.py,.predict(,326
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,333
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,334
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,465
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,466
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,505
TetsumichiUmada/text2emoji,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/TetsumichiUmada/text2emoji/project.ipynb,.predict(,634
