ProjectName,Is ML consumer,libraries,where,keywords,line_number
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,238
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,309
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,339
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.predict(,350
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1009
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1097
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1161
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.predict(,1195
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,.predict(,1004
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,predict(,1004
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,.predict(,1004
chaitjo/working-women,Yes,lightgbm,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,.predict(,1092
