ProjectName,Is ML consumer,libraries,where,keywords,line_number
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/main.py,.no_grad(,308
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/main.py,.no_grad(,432
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/main.py,.no_grad(,472
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/test.py,.no_grad(,38
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/Networks/ERFNet.py,.forward(,172
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Backprojection_Loss/Networks/ERFNet.py,.forward(,175
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Birds_Eye_View_Loss/main.py,.no_grad(,242
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Birds_Eye_View_Loss/main.py,.no_grad(,273
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Birds_Eye_View_Loss/main.py,.no_grad(,376
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Birds_Eye_View_Loss/Networks/ERFNet.py,.forward(,153
wvangansbeke/LaneDetection_End2End,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/wvangansbeke/LaneDetection_End2End/Birds_Eye_View_Loss/Networks/ERFNet.py,.forward(,156
