ProjectName,Is ML consumer,libraries,where,keywords,line_number
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,84
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,84
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,84
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,84
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,555
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,555
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,555
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,555
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,576
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,576
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,576
alvarowolfx/gcloud-iot-edge-tensorflow,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/alvarowolfx/gcloud-iot-edge-tensorflow/custom_model/Train Classifier.ipynb,.predict(,576
