ProjectName,Is ML consumer,libraries,where,keywords,line_number
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/tests/test_models.py,.predict_proba(,11
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/tests/test_models.py,predict_proba(,11
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,.predict_proba(,175
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,predict_proba(,175
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,.predict_proba(,176
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,.predict(,176
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,predict_proba(,176
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,.predict_proba(,178
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,.predict(,178
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/graphing.py,predict_proba(,178
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict_proba(,229
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,predict_proba(,229
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict_proba(,230
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,predict_proba(,230
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict_proba(,276
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict(,276
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,predict_proba(,276
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict(,898
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict(,1263
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/stats.py,.predict(,1318
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,.predict_proba(,51
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,predict_proba(,51
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,predict_proba(,53
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,.predict_proba(,54
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,predict_proba(,54
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,predict_proba(,92
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,.predict_proba(,94
arose13/rosey,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/arose13/rosey/rosey/models.py,predict_proba(,94
