ProjectName,Is ML consumer,libraries,where,keywords,line_number
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobilefacedetnet.py,pretrained=True,115
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobilefacedetnet.py,pretrained=True,143
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobilefacedetnet.py,pretrained=True,179
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobilefacedetnet.py,pretrained=True,225
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobilefacedetnet.py,pretrained=True,260
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/mobileface_detector.py,pretrained=True,32
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Detection/utils/yolo3.py,pretrained=True,488
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Attribute/mobileface_attribute_predictor.py,pretrained=True,29
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Attribute/mobileface_attribute_predictor.py,pretrained=True,41
becauseofAI/MobileFace,Yes,mxnet,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Attribute/mobileface_attr_net.py,pretrained=True,216
becauseofAI/MobileFace,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Tracking/mobileface_sort_v1.py,.predict(,117
becauseofAI/MobileFace,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/becauseofAI/MobileFace/MobileFace_Tracking/mobileface_sort_v1.py,.predict(,195
