ProjectName,Is ML consumer,libraries,where,keywords,line_number
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict(,1643
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict_proba(,1670
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,predict_proba(,1670
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict(,1692
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict_proba(,1948
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,predict_proba(,1948
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict(,2602
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict(,3051
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.predict(,4078
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.predict(,485
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.predict(,485
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.predict(,572
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.predict(,572
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.predict(,437
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.predict(,437
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.predict(,543
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.predict(,543
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.py,.predict(,376
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.py,.predict(,389
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.py,.predict(,495
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.ipynb,.predict(,986
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.ipynb,.predict(,1408
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.ipynb,.predict(,1860
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.py,.predict(,232
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.py,.predict(,232
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.py,.predict(,256
