ProjectName,Is ML consumer,where,keyword,line_number,libraries,keywords
appinho/SAComputerVisionMachineLearning,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/CameraBasedVehicleTracking/classifier.py,,132,sklearn,.predict(
appinho/SAComputerVisionMachineLearning,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/CameraBasedVehicleTracking/classifier.py,,252,sklearn,.predict(
appinho/SAComputerVisionMachineLearning,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/CameraBasedVehicleTracking/classifier.py,,380,sklearn,.predict(
appinho/SAComputerVisionMachineLearning,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/BehavioralCloning/drive.py,,64,keras,.predict(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/util.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model.py,,34,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model_configs.py,,27,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_postfilters.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_discriminators.py,,15,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,51,torch,.no_grad(
r9y9/nnsvs,Yes,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,,209,torch,.no_grad(
