ProjectName,Is ML consumer,libraries,where,keywords,line_number
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,632
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict_proba(,639
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,predict_proba(,639
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,645
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,655
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,665
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,675
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,836
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,846
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,856
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.predict(,866
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,2321
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict_proba(,2353
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,predict_proba(,2353
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,2408
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,2472
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,2536
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,2600
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,3006
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,3070
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,3134
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.predict(,3198
