ProjectName,Is ML consumer,libraries,where,keywords,line_number
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/exporter.py,.predict(,331
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/exporter.py,.predict(,331
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/exporter.py,.predict(,331
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/trainer.py,.predict(,198
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/trainer.py,.predict(,198
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/trainer.py,.predict(,198
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/model_lib.py,.predict(,245
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/model_lib.py,.predict(,245
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/model_lib.py,.predict(,245
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,759
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,759
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,759
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,832
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,832
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,832
ambakick/Person-Detection-and-Tracking,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ambakick/Person-Detection-and-Tracking/meta_architectures/faster_rcnn_meta_arch.py,.predict(,863
