ProjectName,Is ML producer,libraries,where,keywords,line_number
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.train(,24
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.backward(,46
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.train(,77
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.backward(,111
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.train(,136
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/train_val.py,.backward(,192
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/main_imagenet.py,.train(,364
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/main_imagenet.py,.backward(,387
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/lib/models.py,def forward(,79
BannyStone/Video_Classification_PyTorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/BannyStone/Video_Classification_PyTorch/lib/models.py, forward(,79
