ProjectName,Is ML producer,libraries,where,keywords,line_number
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,196
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,199
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,342
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,344
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,346
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,348
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,351
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,353
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,355
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,357
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,391
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,409
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,427
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit_transform(,445
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,490
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,498
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,506
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,515
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,529
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,539
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,549
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,559
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,601
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,602
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,603
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,604
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,615
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,616
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,617
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,618
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,765
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,779
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,793
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.py,.fit(,807
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1248
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1251
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1529
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1531
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1533
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1535
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1538
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1540
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1542
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1544
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1641
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1716
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1793
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit_transform(,1870
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,1996
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2018
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2040
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2063
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2087
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2102
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2117
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2132
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2239
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2240
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2241
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2242
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2273
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2274
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CynthiaKoopman/Network-Intrusion-Detection/DecisionTree_IDS.ipynb,.fit(,2275
