ProjectName,Is ML producer,libraries,where,keywords,line_number
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.fit(,166
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.fit_transform(,171
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.fit_transform(,218
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,def forward(,317
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py, forward(,317
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,def forward(,466
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py, forward(,466
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.train(,534
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.backward(,555
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifkNN.ipynb,.fit(,224
