ProjectName,Is ML producer,libraries,where,keywords,line_number
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,390
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,407
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,545
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,578
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,583
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit_transform(,595
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,616
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/survival/convolutional_sccs.py,.fit(,649
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/linear_model/tests/logistic_regression_test.py,.fit_transform(,53
X-DataInitiative/tick,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/X-DataInitiative/tick/tick/linear_model/tests/logistic_regression_test.py,.fit(,90
