ProjectName,Is ML producer,libraries,where,keywords,line_number
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,173
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,385
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,441
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,452
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,535
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,553
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,567
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1103
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1104
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1105
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1106
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1107
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/model.py,.train.,1108
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/model/rnn_cell_extended.py,training=True,24
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,12
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,13
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,14
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,15
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,16
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,17
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,18
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,19
aqlaboratory/rgn,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aqlaboratory/rgn/data_processing/convert_to_tfrecord.py,.train.,20
