ProjectName,Is ML producer,libraries,where,keywords,line_number
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/faster_rcnn.py,def forward(,53
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/faster_rcnn.py, forward(,53
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/faster_rcnn.py,def forward(,215
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/faster_rcnn.py, forward(,215
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/network.py,def forward(,15
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/network.py, forward(,15
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/network.py,def forward(,30
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/network.py, forward(,30
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/vgg16.py,def forward(,37
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/vgg16.py, forward(,37
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/functions/roi_pool.py,def forward(,16
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/functions/roi_pool.py, forward(,16
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/modules/roi_pool_py.py,def forward(,14
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/modules/roi_pool_py.py, forward(,14
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/modules/roi_pool.py,def forward(,13
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/detection/faster_rcnn/roi_pooling/modules/roi_pool.py, forward(,13
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/tracking/siamrpn.py,def forward(,46
mj000001/Object-Detection-And-Tracking,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/mj000001/Object-Detection-And-Tracking/tracking/siamrpn.py, forward(,46
