ProjectName,Is ML producer,libraries,where,keywords,line_number
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,365
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,365
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,482
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,482
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,572
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,572
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,634
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,634
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,666
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,666
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.backward(,756
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,886
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,886
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,917
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,917
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.train(,994
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.backward(,1004
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,1272
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,1272
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,1305
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,1305
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,def forward(,1329
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb, forward(,1329
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.backward(,1509
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,369
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,369
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,486
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,486
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,576
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,576
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,638
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,638
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,670
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,670
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.backward(,760
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,914
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,914
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,945
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,945
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.train(,1022
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.backward(,1032
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,1309
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,1309
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,1342
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,1342
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,1366
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,1366
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.backward(,1546
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,1946
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,1946
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,2051
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,2051
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,2084
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,2084
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,2110
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,2110
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,2130
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb, forward(,2130
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.backward(,2199
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,def forward(,2266
