ProjectName,Is ML producer,libraries,where,keywords,line_number
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.py,.fit(,292
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.py,.fit(,292
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.py,fit(,292
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.py,.fit(,292
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.py,.fit(,292
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BRATS2015.py,.fit(,188
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.ipynb,.fit(,358
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.ipynb,.fit(,358
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.ipynb,fit(,358
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.ipynb,.fit(,358
polo8214/Brain-tumor-segmentation-using-deep-learning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/polo8214/Brain-tumor-segmentation-using-deep-learning/BraTS2018.ipynb,.fit(,358
