ProjectName,Is ML producer,libraries,where,keywords,line_number
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,.fit(,58
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,.fit(,58
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,.fit(,58
ziqizhang/chase,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,fit(,58
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,.fit(,58
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/example.py,.fit(,58
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,.fit_transform(,41
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,.fit_transform(,55
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,.fit_transform(,86
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/feature_extractor.py,.fit_transform(,121
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/util.py,.fit_transform(,185
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/util.py,.fit_transform(,195
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/util.py,.fit_transform(,303
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/util.py,.fit_transform(,322
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,.fit_transform(,178
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,.fit_transform(,185
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_gridsearch.py,.fit(,196
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,.fit_transform(,70
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,.fit(,300
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,.fit(,300
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,.fit(,437
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/classifier_dnn.py,.fit(,437
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/multiclassifier_dnn.py,.fit(,24
ziqizhang/chase,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/ml/multiclassifier_dnn.py,.fit(,24
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,.fit_transform(,54
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/davidson/classifier.py,.fit(,56
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/analysis/data_vocab_checker.py,.fit_transform(,22
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/analysis/embedding_vocab_checker.py,.fit_transform(,30
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,.fit_transform(,90
ziqizhang/chase,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/ziqizhang/chase/python/src/exp/classifier_traintest_main.py,.fit(,163
