ProjectName,Is ML producer,libraries,where,keywords,line_number
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.py,.train.,471
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.py,.train.,496
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.py,.train.,595
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.py,.train.,672
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.ipynb,.train.,700
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.ipynb,.train.,731
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.ipynb,.train.,1050
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/TrafficSignClassification/Traffic_Sign_Classifier.ipynb,.train.,1184
appinho/SAComputerVisionMachineLearning,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/CameraBasedVehicleTracking/classifier.py,.fit(,106
appinho/SAComputerVisionMachineLearning,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/CameraBasedVehicleTracking/classifier.py,.fit(,123
appinho/SAComputerVisionMachineLearning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/BehavioralCloning/model.py,.fit(,149
appinho/SAComputerVisionMachineLearning,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/BehavioralCloning/net.py,.fit(,155
appinho/SAComputerVisionMachineLearning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/appinho/SAComputerVisionMachineLearning/SemanticSegmentation/main.py,.train.,124
