ProjectName,Is ML producer,libraries,where,keywords,line_number
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.fit(,229
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.py,.fit(,292
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.fit(,229
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.py,.fit(,292
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.fit(,229
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.py,.fit(,292
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/has_occ-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/blue_collar-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/white_collar-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.ipynb,.fit(,1072
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.py,.fit(,225
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/blue_collar-200506.py,.fit(,288
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/white_collar-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/white_collar-200506.ipynb,.fit(,1072
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/white_collar-200506.py,.fit(,225
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/white_collar-200506.py,.fit(,288
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/has_occ-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/has_occ-200506.ipynb,.fit(,1072
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/has_occ-200506.py,.fit(,225
chaitjo/working-women,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/chaitjo/working-women/notebooks_200506/has_occ-200506.py,.fit(,288
