ProjectName,Is ML producer,libraries,where,keywords,line_number
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,217
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,244
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,298
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,352
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,457
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit_one_cycle(,513
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingArtistic.ipynb,.fit(,611
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingStableLargeBatch.py,.fit_one_cycle(,205
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingStableLargeBatch.py,.fit_one_cycle(,223
jantic/DeOldify,Yes,fastai,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jantic/DeOldify/ColorizeTrainingStableLargeBatch.py,.fit_one_cycle(,257
