ProjectName,Is ML producer,libraries,where,keywords,line_number
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/train.py,.train(,127
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/train.py,.backward(,167
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/dfn.py,def forward(,123
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/dfn.py,def forward(,232
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,28
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,65
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,86
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,103
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,130
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,def forward(,152
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/model/deeperlab.py,.backward(,175
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/base_model/resnet.py,def forward(,33
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/base_model/resnet.py,def forward(,78
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/base_model/resnet.py,def forward(,168
lingtengqiu/Deeperlab-pytorch,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/lingtengqiu/Deeperlab-pytorch/base_model/xception.py,def forward(,17
