ProjectName,Is ML producer,libraries,where,keywords,line_number
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.py,.step(,169
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.py,.step(,196
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.py,.step(,373
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/02-fine-tuning.ipynb,.step(,647
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.ipynb,.step(,521
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.ipynb,.step(,616
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/01-learning-lenet.ipynb,.step(,1235
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/pascal-multilabel-with-datalayer.py,.step(,159
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/pascal-multilabel-with-datalayer.py,.step(,205
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/02-fine-tuning.py,.step(,400
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/pascal-multilabel-with-datalayer.ipynb,.step(,229
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/pascal-multilabel-with-datalayer.ipynb,.step(,334
msracver/Deep-Exemplar-based-Colorization,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.py,.fit(,59
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.py,.solve(,183
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.py,.solve(,237
msracver/Deep-Exemplar-based-Colorization,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.ipynb,.fit(,116
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.ipynb,.solve(,297
msracver/Deep-Exemplar-based-Colorization,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/similarity_subnet/examples/brewing-logreg.ipynb,.solve(,714
msracver/Deep-Exemplar-based-Colorization,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msracver/Deep-Exemplar-based-Colorization/colorization_subnet/models/ExampleColorNet.py,def forward(,58
