ProjectName,Is ML producer,libraries,where,keywords,line_number
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,56
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,67
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,146
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,157
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,241
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,250
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,303
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/methods.py,.backward(,314
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/training.py,.train(,303
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/training.py,.train(,331
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/training.py,.train(,581
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/denoise.py,.backward(,110
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/filters.py,def forward(,36
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/filters.py,def forward(,47
tbepler/topaz,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/tbepler/topaz/topaz/filters.py,def forward(,70
