ProjectName,Is ML consumer,libraries,where,keywords,line_number
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/ExamplesOfIncrementalKmeans.ipynb,.predict(,155
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/ExamplesOfIncrementalKmeans.py,.predict(,116
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.py,.predict(,102
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.py,.predict(,126
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.py,.predict(,153
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.py,.predict(,172
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.py,.predict(,202
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/train.py,.predict(,38
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.ipynb,.predict(,163
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.ipynb,.predict(,195
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.ipynb,.predict(,230
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.ipynb,.predict(,257
AssembleSoftware/IoTPy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/AssembleSoftware/IoTPy/examples/door-detection-anish/ML/ml_testing.ipynb,.predict(,325
