ProjectName,Is ML consumer,libraries,where,keywords,line_number
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/keras_native_networks.py,.predict(,14
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/model.py,.predict(,2332
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/model.py,.predict(,2332
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/model.py,.predict(,2332
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/model.py,.predict(,2332
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/Mask_RCNN/mask_rcnn/dataset.py,.predict(,21
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/dataset.py,.predict(,204
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/visualization.py,.predict(,38
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,.predict_proba(,57
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,predict_proba(,57
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,.predict_proba(,58
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,predict_proba(,58
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,.predict_proba(,67
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,predict_proba(,67
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,.predict_proba(,68
Ekim-Yurtsever/DeepTL-Lane-Change-Classification,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/Ekim-Yurtsever/DeepTL-Lane-Change-Classification/lane_change_risk_detection/models.py,predict_proba(,68
