ProjectName,Is ML consumer,libraries,where,keywords,line_number
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,142
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,142
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,142
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,142
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,142
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,159
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,159
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,159
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,159
MrGiovanni/ModelsGenesis,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/keras/downstream_tasks/utils.py,.predict(,159
MrGiovanni/ModelsGenesis,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/MrGiovanni/ModelsGenesis/pytorch/Genesis_Chest_CT.py,.no_grad(,106
