ProjectName,Is ML consumer,libraries,where,keywords,line_number
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/DecisionTreeClassifier_multi_stock.py,.predict(,42
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-hello-sklearn.py,.predict(,6
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDRegression_single_stock_today_for_tomorrow.py,.predict(,55
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDRegression_single_stock_today_for_tomorrow.py,.predict(,72
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-DecisionTreeClassifier-sm.py,.predict(,104
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDRegression_Prediction_For_Next_Week.py,.predict(,48
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-DecisionTreeClassifier-lg.py,.predict(,115
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDClassifier_single_stock.py,.predict(,44
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDClassifier_single_stock.py,.predict(,54
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-MLPClassifier.py,.predict(,9
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-MLPClassifier.py,.predict(,11
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/demo-pandas.py,.predict(,120
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/archive/SGDRegression_single_stock.py,.predict(,49
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/testing/stock-predict.py,.predict(,89
aaronlam88/cmpe295,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/aaronlam88/cmpe295/python/testing/pandas-test.py,.predict(,120
