ProjectName,Is ML consumer,libraries,where,keywords,line_number
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/fast_neural_style/neural_style/neural_style.py,.no_grad(,141
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/imagenet/main.py,.no_grad(,353
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/imagenet/main.py,.no_grad(,498
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/word_language_model/generate.py,.no_grad(,67
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/word_language_model/main.py,.no_grad(,154
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/gcn/main.py,.no_grad(,192
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/siamese_network/main.py,.no_grad(,219
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/vae/main.py,.no_grad(,117
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/vae/main.py,.no_grad(,136
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/time_sequence_prediction/train.py,.no_grad(,70
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist/main.py,.no_grad(,57
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/gat/main.py,.no_grad(,279
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist_rnn/main.py,.no_grad(,64
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/FSDP/utils/train_utils.py,.no_grad(,80
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/minGPT-ddp/mingpt/model.py,.no_grad(,172
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/rpc/pipeline/main.py,.forward(,164
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/rpc/pipeline/main.py,.forward(,165
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/rpc/ddp_rpc/main.py,.forward(,34
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/distributed/rpc/parameter_server/rpc_parameter_server.py,.no_grad(,202
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/super_resolution/main.py,.no_grad(,73
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist_forward_forward/main.py,.forward(,73
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist_forward_forward/main.py,.forward(,74
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist_forward_forward/main.py,.forward(,85
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/mnist_hogwild/train.py,.no_grad(,46
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/legacy/snli/model.py,.forward(,9
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/legacy/snli/model.py,.forward(,11
pytorch/examples,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pytorch/examples/legacy/snli/train.py,.no_grad(,113
