ProjectName,Is ML consumer,libraries,where,keywords,line_number
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifStftCnnPyTorch.py,.no_grad(,620
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifkNN.ipynb,.predict(,1107
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifSVM.ipynb,.predict(,1132
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifSVM.ipynb,.predict(,1133
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifkNN.py,.predict(,256
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras2GridSearch.py,.predict(,364
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras2GridSearch.py,.predict(,364
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras2GridSearch.py,.predict(,364
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras2GridSearch.py,.predict(,364
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras2GridSearch.py,.predict(,364
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.py,.predict(,319
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.py,.predict(,319
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.py,.predict(,319
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.py,.predict(,319
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.py,.predict(,319
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifSVMGridSearch.ipynb,.predict(,375
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifSVM.py,.predict(,275
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifSVM.py,.predict(,276
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.predict(,1044
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.predict(,1044
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/GuitarsAI/BasicsMusicalInstrumClassifi/BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.predict(,1044
