ProjectName,Is ML consumer,libraries,where,keywords,line_number
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/train_model.py,.predict(,60
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/kmeans.py,.predict(,42
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/KMeans_CuisinePrediction.ipynb,.predict(,143
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/calorie_prediction.py,.predict(,56
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/KMeans_CuisinePrediction.py,.predict(,64
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,48
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,48
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,48
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,48
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,69
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,69
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,69
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.py,.predict(,69
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,83
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,83
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,83
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,83
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,120
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,120
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,120
jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/jubins/DeepLearning-Food-Image-Recognition-And-Calorie-Estimation/Code/extraneous/irisWithDifferentClassifiers.ipynb,.predict(,120
