ProjectName,Is ML consumer,libraries,where,keywords,line_number
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.forward(,324
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.no_grad(,370
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.no_grad(,418
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs.ipynb,.no_grad(,1026
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.forward(,328
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,374
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,422
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,1054
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.forward(,1917
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,1951
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,1999
msurtsukov/neural-ode,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/msurtsukov/neural-ode/Neural ODEs (Russian).ipynb,.no_grad(,2363
