ProjectName,Is ML consumer,libraries,where,keywords,line_number
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/retrain/vgg_fc6.py,.forward(,85
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/retrain/vgg_fc6.py,.forward(,109
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/retrain/vgg_fc6.py,.forward(,137
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/gen_trigger/act_max.tvd.center_part.py,.forward(,114
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/gen_trigger/act_max.tvd.center_part.py,.forward(,224
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/gen_trigger/act_max.tvd.center_part.py,.forward(,316
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/code/gen_trigger/act_max.tvd.center_part.py,.forward(,437
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/data/test_speech.py,.forward(,27
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/models/age/test_one_image.py,.forward(,48
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/models/speech/test_speech.py,.forward(,27
PurduePAML/TrojanNN,Yes,caffe,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/PurduePAML/TrojanNN/models/face/test_one_image.py,.forward(,33
