ProjectName,Is ML consumer,libraries,where,keywords,line_number
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/util.py,.no_grad(,15
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model.py,.no_grad(,34
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_model_configs.py,.no_grad(,27
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_postfilters.py,.no_grad(,15
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/tests/test_discriminators.py,.no_grad(,15
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,51
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,209
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,419
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,509
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,643
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/gen.py,.no_grad(,860
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,1087
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,1163
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,1483
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,1550
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,1809
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,2010
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/train_util.py,.no_grad(,2259
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,.no_grad(,111
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,.no_grad(,128
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,.no_grad(,144
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/usfgan/utils/features.py,.no_grad(,166
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/wavenet/conv.py,.no_grad(,51
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/anasyn.py,.no_grad(,21
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/gen_static_features.py,.no_grad(,31
r9y9/nnsvs,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/r9y9/nnsvs/nnsvs/bin/generate.py,.no_grad(,48
