ProjectName,Is ML consumer,libraries,where,keywords,line_number
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/run_multichoice_mrc.py,.no_grad(,282
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/run_mrc.py,.no_grad(,41
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/run_c3.py,.no_grad(,630
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/run_c3.py,.no_grad(,690
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/run_c3.py,.no_grad(,778
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/classifier_pytorch/run_classifier.py,.no_grad(,185
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/classifier_pytorch/run_classifier.py,.no_grad(,247
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/classifier_pytorch/transformers/modeling_transfo_xl.py,.no_grad(,682
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/classifier_pytorch/transformers/modeling_roberta.py,.forward(,57
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/classifier_pytorch/transformers/modeling_roberta.py,.forward(,177
