ProjectName,Is ML consumer,libraries,where,keywords,line_number
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/trainer.py,.forward(,77
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/trainer.py,.no_grad(,90
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/trainer.py,.forward(,91
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/models.py,.no_grad(,243
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/models.py,.no_grad(,269
pycroscopy/pycroscopy,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/learn/dl/models.py,.no_grad(,376
pycroscopy/pycroscopy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/pycroscopy/image/image_atoms.py,.predict(,100
pycroscopy/pycroscopy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/examples/notebooks/PycroscopyDenosingAutoencoder.ipynb,.predict(,549
pycroscopy/pycroscopy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/examples/notebooks/PycroscopyDenosingAutoencoder.ipynb,.predict(,636
pycroscopy/pycroscopy,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/pycroscopy/pycroscopy/examples/notebooks/PycroscopyDenosingAutoencoder.ipynb,.predict(,983
