ProjectName,Is ML consumer,libraries,where,keywords,line_number
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,93
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,93
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,93
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,93
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,137
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,137
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,137
img2latex-master/character_classification,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\app.py,.predict(,137
img2latex-master/character_classification,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\notebooks\model_predict.py,.predict(,136
img2latex-master/character_classification,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\notebooks\model_predict.py,.predict(,213
img2latex-master/character_classification,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\notebooks\Untitled.ipynb,.predict(,136
img2latex-master/character_classification,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\img2latex-master\character_classification\notebooks\Untitled.ipynb,.predict(,213
