ProjectName,Is ML consumer,libraries,where,keywords,line_number
nearthlab/image-segmentation,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\examples\imagenet\imagenet_ex.py,.predict(,35
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,121
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,121
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,121
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,121
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,127
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,127
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,127
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\keras_model_wrapper\semantic_model_wrapper.py,.predict(,127
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,60
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,60
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,60
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,60
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,64
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,64
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,64
nearthlab/image-segmentation,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\nearthlab\image-segmentation\image-segmentation\models\image_classifier.py,.predict(,64
