ProjectName,Is ML consumer,libraries,where,keywords,line_number
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\inference.py,.no_grad(,276
rwightman/pytorch-image-models,Yes,mxnet,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\convert\convert_from_mxnet.py,pretrained=True,17
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\layers\weight_init.py,.no_grad(,66
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\layers\weight_init.py,.no_grad(,93
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\layers\weight_init.py,.no_grad(,114
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\layers\weight_init.py,.no_grad(,118
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adabelief.py,.no_grad(,88
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adabelief.py,.no_grad(,106
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adafactor.py,.no_grad(,127
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adafactor_bv.py,.no_grad(,124
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adahessian.py,.no_grad(,90
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adahessian.py,.no_grad(,118
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adamp.py,.no_grad(,66
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adamw.py,.no_grad(,100
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adan.py,.no_grad(,101
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adan.py,.no_grad(,117
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\adopt.py,.no_grad(,188
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\kron.py,.no_grad(,217
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\lamb.py,.no_grad(,147
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\laprop.py,.no_grad(,66
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\lars.py,.no_grad(,75
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\lion.py,.no_grad(,81
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\lookahead.py,.no_grad(,35
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\lookahead.py,.no_grad(,52
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\madgrad.py,.no_grad(,90
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\mars.py,.no_grad(,141
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\nadam.py,.no_grad(,52
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\nadamw.py,.no_grad(,89
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\nvnovograd.py,.no_grad(,66
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\radam.py,.no_grad(,37
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\rmsprop_tf.py,.no_grad(,98
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\sgdp.py,.no_grad(,44
rwightman/pytorch-image-models,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\rwightman\pytorch-image-models\timm\optim\sgdw.py,.no_grad(,94
