ProjectName,Is ML producer,libraries,where,keywords,line_number
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,156
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,156
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,177
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,177
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,214
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,214
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,226
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,245
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,245
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,259
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,259
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py,def forward(,271
CLUEbenchmark/CLUE,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/CLUEbenchmark/CLUE/baselines/models_pytorch/mrc_pytorch/google_albert_pytorch_modeling.py, forward(,271
