ProjectName,Is ML producer,libraries,where,keywords,line_number
napsternxg/TwitterNER,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Tensorflow RNN.ipynb,.train.,103
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.fit(,1042
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.fit_predict(,1053
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.fit_transform(,1506
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.fit(,1642
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.ipynb,.fit(,2178
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.fit(,404
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.ipynb,.fit(,404
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.fit(,356
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.ipynb,.fit(,356
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.py,.fit(,356
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/CRFSuite.ipynb,.fit(,502
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.py,.fit(,198
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasWordRNN.py,.fit(,198
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.py,.fit(,219
napsternxg/TwitterNER,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/KerasCharRNN.py,.fit(,219
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.py,.fit(,572
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.py,.fit_predict(,578
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.py,.fit_transform(,755
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.py,.fit(,789
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/Word2Vec.py,.fit(,1087
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/NoisyNLP/models.py,.fit(,45
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/NoisyNLP/features.py,.fit_predict(,178
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/NoisyNLP/features.py,.fit(,354
napsternxg/TwitterNER,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/napsternxg/TwitterNER/NoisyNLP/features.py,.fit(,372
