ProjectName,Is ML producer,libraries,where,keywords,line_number
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/glcm.py,.fit(,56
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/SVM.py,.fit_transform(,76
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/SVM.py,.fit_transform(,98
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/SVM.py,.fit(,110
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/SVM.py,.fit_transform(,159
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/SVM.py,.fit_transform(,185
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit_transform(,56
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit_transform(,78
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,112
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,112
oduwa/Pic-Numero,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,fit(,112
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,112
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,112
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit_transform(,258
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit_transform(,275
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,312
oduwa/Pic-Numero,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/oduwa/Pic-Numero/PicNumero/CNN.py,.fit(,312
