ProjectName,Is ML producer,libraries,where,keywords,line_number
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,train_one_epoch(,870
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,def train_one_epoch(,969
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,train_one_epoch(,969
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,.train(,998
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/train.py,.backward(,1047
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/benchmark.py,.train(,385
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/benchmark.py,.backward(,415
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/tests/test_optim.py,.backward(,47
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/tests/test_optim.py,.backward(,72
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/tests/test_optim.py,.backward(,206
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/tests/test_optim.py,.backward(,264
rwightman/pytorch-image-models,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/rwightman/pytorch-image-models/tests/test_layers.py,def forward(,21
