ProjectName,Is ML producer,libraries,where,keywords,line_number
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/model.py,training=True,24
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/model.py,training=True,32
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/model.py,.train.,149
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/Inference.py,.train.,92
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,556
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,557
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,573
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,574
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,training=True,771
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,1082
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,1247
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,1249
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/BERT_SUMM.ipynb,.train.,1262
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/main.py,.train.,136
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/main.py,.train.,138
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning/preprocess.py,.train.,140
