ProjectName,Is ML producer,libraries,where,keywords,line_number
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/vectorization.py,.fit(,38
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit_transform(,819
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit_transform(,890
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit_transform(,903
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit_transform(,904
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,907
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,907
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,907
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,907
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,907
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1507
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1507
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1507
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,1507
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1507
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1522
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1522
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1522
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,1522
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1522
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1556
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1556
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1556
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,1556
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1556
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1678
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1678
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1678
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,1678
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1678
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1793
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1793
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1793
IINemo/isanlp_srl_framebank,Yes,tensorflow,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,fit(,1793
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.ipynb,.fit(,1793
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/training_utils.py,.fit(,19
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit_transform(,366
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit_transform(,411
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit_transform(,424
IINemo/isanlp_srl_framebank,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit_transform(,425
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit(,428
IINemo/isanlp_srl_framebank,Yes,deeppavlov,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/IINemo/isanlp_srl_framebank/src/training/resplit_data_retrain_models.py,.fit(,428
