ProjectName,Is ML producer,libraries,where,keywords,line_number
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_sklearn.py,.fit_transform(,10
JasonKessler/scattertext,Yes,lightning,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_sklearn.py,.fit(,18
JasonKessler/scattertext,Yes,lightning,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_sklearn.py,.fit(,18
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_sklearn.py,.fit_transform(,21
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_correlation_pearsons.py,.fit(,17
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_pair_plot_category_focused.py,.fit_transform(,9
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_pair_plot_category_focused.py,.fit_transform(,12
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_feature_importance.py,.fit(,35
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_feature_importance.py,.fit(,50
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_phate_documents.py,.fit_transform(,18
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_phate_documents.py,.fit_transform(,19
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_embeddings_pca.py,.fit_transform(,14
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_axis_crossbars_and_labels.py,.fit_transform(,14
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_pca_documents.py,.fit_transform(,15
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_tdm_without_categories.py,.fit_transform(,9
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_pair_plot_20_newsgroups.py,.fit_transform(,13
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_pair_plot_20_newsgroups.py,.fit_transform(,17
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_umap_documents.py,.fit_transform(,16
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/demo_umap_documents.py,.fit_transform(,17
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit_transform(,481
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit(,482
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit_transform(,512
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit(,515
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit(,518
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit_transform(,554
JasonKessler/scattertext,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/JasonKessler/scattertext/scattertext/TermDocMatrix.py,.fit(,555
