ProjectName,Is ML producer,libraries,where,keywords,line_number
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,def forward(,32
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,def forward(,45
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,def forward(,61
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,def forward(,90
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,def forward(,114
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Spmc.py,.backward(,177
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Esrgan.py,def forward(,38
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Crdn.py,def forward(,22
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Crdn.py,def forward(,51
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Rbpn.py,def forward(,43
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Rbpn.py,def forward(,86
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Rbpn.py,def forward(,119
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Rbpn.py,.backward(,169
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/NTIRE20.py,.backward(,45
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/SRFeat.py,def forward(,45
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/SRFeat.py,.backward(,101
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/SRFeat.py,.backward(,112
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/SRFeat.py,.backward(,121
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Edsr.py,def forward(,50
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Edsr.py,def forward(,80
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Ffdnet.py,def forward(,30
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Ffdnet.py,.backward(,55
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,def forward(,31
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,def forward(,49
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,def forward(,88
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,def forward(,147
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,def forward(,171
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Sofvsr.py,.backward(,240
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,def forward(,49
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,def forward(,69
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,def forward(,93
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,.backward(,262
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,.backward(,264
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/TecoGAN.py,.backward(,268
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Qprn.py,def forward(,45
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Qprn.py,def forward(,69
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Qprn.py,def forward(,87
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Qprn.py,.backward(,211
LoSealL/VideoSuperResolution,Yes,torch,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/LoSealL/VideoSuperResolution/VSR/Backend/Torch/Models/Qprn.py,.backward(,224
