ProjectName,Is ML producer,libraries,where,keywords,line_number
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia.ipynb,.fit(,355
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia.ipynb,.fit(,355
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia_detector.py,.fit(,134
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia_detector.py,.fit(,134
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia_detector.ipynb,.fit(,321
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia_detector.ipynb,.fit(,321
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia.py,.fit(,157
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/trypophobia.py,.fit(,157
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/models/common/common.py,.fit(,173
cytadela8/trypophobia,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/cytadela8/trypophobia/models/common/common.py,.fit_generator(,206
