ProjectName,Is ML producer,libraries,where,keywords,line_number
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,343
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,343
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,783
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,783
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit_generator(,2081
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,2406
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,2406
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,2644
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.ipynb,.fit(,2644
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,175
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,175
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,300
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,300
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit_generator(,648
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,775
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,775
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,880
justachetan/img2latex,Yes,keras,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/character_classification/notebooks/character_classification.py,.fit(,880
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.ipynb,.fit(,208
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.ipynb,.fit(,424
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.ipynb,.fit(,634
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.ipynb,.fit(,841
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.py,.fit(,77
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.py,.fit(,121
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.py,.fit(,159
justachetan/img2latex,Yes,sklearn,/home/vincenzo/github/MLTaxonomy-AblationStudy/Categorizer/src/../../repos/repos2/justachetan/img2latex/scripts/classify_symbols.py,.fit(,197
