ProjectName,Is ML producer,libraries,where,keywords,line_number
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit_transform(,1248
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit_transform(,1251
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1529
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1531
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1533
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1535
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1538
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1540
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1542
CynthiaKoopman/Network-Intrusion-Detection,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\CynthiaKoopman\Network-Intrusion-Detection\DecisionTree_IDS.ipynb,.fit(,1544
