ProjectName,Is ML producer,libraries,where,keywords,line_number
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,189
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,189
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,189
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,fit(,189
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,189
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit_transform(,353
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit_transform(,355
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,994
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,994
GuitarsAI/BasicsMusicalInstrumClassifi,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\GuitarsAI\BasicsMusicalInstrumClassifi\BasicsMusicaInstrumentsClassifDNKeras1.ipynb,.fit(,994
