ProjectName,Is ML producer,libraries,where,keywords,line_number
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\mpi_runner.py,.train.,267
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\mpi_runner.py,.train.,272
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\mpi_runner.py,.train_on_batch,327
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\mpi_runner.py,.train_on_batch,580
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\mpi_runner.py,.train_on_batch,596
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,fit(,242
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,fit(,258
PPPLDeepLearning/plasma-python,Yes,xgboost,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,train(,327
PPPLDeepLearning/plasma-python,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,.fit(,410
PPPLDeepLearning/plasma-python,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,.fit(,410
PPPLDeepLearning/plasma-python,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,fit(,410
PPPLDeepLearning/plasma-python,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,.fit(,410
PPPLDeepLearning/plasma-python,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\shallow_runner.py,.fit(,410
PPPLDeepLearning/plasma-python,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\torch_runner.py,def forward(,33
PPPLDeepLearning/plasma-python,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\torch_runner.py,def forward(,89
PPPLDeepLearning/plasma-python,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\torch_runner.py,def forward(,122
PPPLDeepLearning/plasma-python,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\PPPLDeepLearning\plasma-python\plasma\models\torch_runner.py,def forward(,158
