ProjectName,Is ML producer,libraries,where,keywords,line_number
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\network.py,def forward(,51
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\training.py,.train(,81
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\training.py,.backward(,130
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\DUC.py,def forward(,23
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\duc_hdc.py,def forward(,16
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\duc_hdc.py,def forward(,54
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\duc_hdc.py,def forward(,94
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\fcn16s.py,def forward(,50
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\fcn32s.py,def forward(,43
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\fcn8s.py,def forward(,68
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\gcn.py,def forward(,27
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\gcn.py,def forward(,43
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\gcn.py,def forward(,82
YuliangXiu/MobilePose-pytorch,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\YuliangXiu\MobilePose-pytorch\networks\MobileNetV2.py,def forward(,56
