ProjectName,Is ML producer,libraries,where,keywords,line_number
arose13/rosey,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\tests.py,.fit(,14
arose13/rosey,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\tests.py,.fit(,18
arose13/rosey,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\graphing.py,.fit(,174
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,36
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,36
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,80
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,80
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,88
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,88
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,167
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,167
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,173
arose13/rosey,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\arose13\rosey\rosey\models.py,.fit(,173
