ProjectName,Is ML producer,libraries,where,keywords,line_number
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\convert_weight_from_darknet.py,.train.,56
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\evaluate.py,.train.,110
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\export.py,.train.,100
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\measure_latency.py,.train.,60
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\predict.py,.train.,80
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\profile_model.py,.train.,58
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\train.py,.train(,111
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\train.py,.train.,125
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\train.py,.train.,141
blue-oil/blueoil,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\blue-oil\blueoil\blueoil\cmd\train.py,.train.,176
