ProjectName,Is ML producer,libraries,where,keywords,line_number
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\blue_collar-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\blue_collar-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\has_occ-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\has_occ-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\white_collar-201516.ipynb,.fit(,997
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\white_collar-201516.ipynb,.fit(,1077
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\blue_collar-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\blue_collar-200506.ipynb,.fit(,1072
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\has_occ-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\has_occ-200506.ipynb,.fit(,1072
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\white_collar-200506.ipynb,.fit(,992
chaitjo/working-women,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chaitjo\working-women\notebooks_200506\white_collar-200506.ipynb,.fit(,1072
