ProjectName,Is ML producer,libraries,where,keywords,line_number
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,184
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,187
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,269
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,272
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,317
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_transform(,320
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit(,343
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit(,348
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit(,349
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_predict(,462
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\combined.ipynb,.fit_predict(,469
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_transform(,205
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,237
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_transform(,315
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_transform(,392
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,418
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_transform(,493
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,602
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,609
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,632
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\document.ipynb,.fit_predict(,639
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit_transform(,256
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit_transform(,283
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit(,316
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit_predict(,382
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit(,453
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit_transform(,657
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit(,682
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit_predict(,747
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\embedding.ipynb,.fit(,817
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\url2vec.ipynb,.fit_predict(,143
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\url2vec.ipynb,.fit_predict(,236
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\url2vec.ipynb,.fit_predict(,329
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\url2vec.ipynb,.fit_predict(,422
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\notebooks\url2vec.ipynb,.fit_predict(,515
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\url2vec\model\urlembed.py,.fit_transform(,95
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\url2vec\model\urlembed.py,.fit_transform(,96
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\url2vec\model\urlembed.py,.fit_transform(,99
chrisPiemonte/url2vec,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\chrisPiemonte\url2vec\url2vec\model\urlembed.py,.fit_transform(,118
