ProjectName,Is ML producer,libraries,where,keywords,line_number
cjekel/tindetheus,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\machine_learning.py,.fit(,114
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\calculate_filtering_metrics.py,.train.,65
cjekel/tindetheus,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\classifier.py,.fit(,96
cjekel/tindetheus,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\classifier.py,.fit(,96
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\classifier.py,fit(,96
cjekel/tindetheus,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\classifier.py,.fit(,96
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,131
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,154
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,175
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,177
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,179
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,181
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,183
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,204
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,381
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\facenet.py,.train.,392
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\freeze_graph.py,.train.,49
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train.,110
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train.,162
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train(,180
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train.,184
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train.,195
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_softmax.py,.train.,196
cjekel/tindetheus,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cjekel\tindetheus\tindetheus\facenet_clone\train_tripletloss.py,.train.,122
