ProjectName,Is ML producer,libraries,where,keywords,line_number
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,.fit(,81
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,.fit(,81
cpmpercussion/robojam,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,fit(,81
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,.fit(,81
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,.fit_generator(,82
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_4D_mdn.py,.fit_generator(,82
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,.fit(,80
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,.fit(,80
cpmpercussion/robojam,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,fit(,80
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,.fit(,80
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,.fit_generator(,81
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_metatone_mdn.py,.fit_generator(,81
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,.fit(,79
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,.fit(,79
cpmpercussion/robojam,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,fit(,79
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,.fit(,79
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,.fit_generator(,80
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\train_robojam_mdrnn.py,.fit_generator(,80
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\notebooks\overfit_training_test.ipynb,.fit(,1714
cpmpercussion/robojam,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\notebooks\overfit_training_test.ipynb,.fit(,1714
cpmpercussion/robojam,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\cpmpercussion\robojam\notebooks\overfit_training_test.ipynb,fit(,1714
