ProjectName,Is ML producer,libraries,where,keywords,line_number
daniel-cortez-stevenson/crypto-predict,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\build.py,.fit_transform(,76
daniel-cortez-stevenson/crypto-predict,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,fit(,16
daniel-cortez-stevenson/crypto-predict,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,.fit(,17
daniel-cortez-stevenson/crypto-predict,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,.fit(,17
daniel-cortez-stevenson/crypto-predict,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,.fit(,17
daniel-cortez-stevenson/crypto-predict,Yes,tensorflow,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,fit(,17
daniel-cortez-stevenson/crypto-predict,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\models.py,.fit(,17
daniel-cortez-stevenson/crypto-predict,Yes,keras,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\scripts\make_train_models.py,.fit(,69
daniel-cortez-stevenson/crypto-predict,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\tests\test_transformers.py,.fit(,24
daniel-cortez-stevenson/crypto-predict,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\tests\test_transformers.py,.fit_transform(,30
daniel-cortez-stevenson/crypto-predict,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\tests\test_transformers.py,.fit_transform(,38
daniel-cortez-stevenson/crypto-predict,Yes,sklearn,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\daniel-cortez-stevenson\crypto-predict\crypr\tests\test_transformers.py,.fit_transform(,50
