ProjectName,Is ML producer,libraries,where,keywords,line_number
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\train.py,.train(,255
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\train.py,.backward(,266
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\arcFaceloss.py,def forward(,21
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\arcFaceloss.py,def forward(,69
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\lovasz.py,def forward(,134
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\model.py,def forward(,71
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\utils.py,def forward(,16
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\utils.py,def forward(,46
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,58
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,199
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,212
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,226
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,271
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\dpn.py,def forward(,361
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\inceptionV4.py,def forward(,47
earhian/Humpback-Whale-Identification-1st-,Yes,torch,C:/Users/Cristian/PycharmProjects/MARK-IGES-Project/MARK-Tool/MARK-Tool/repos/repos2\earhian\Humpback-Whale-Identification-1st-\models\modelZoo\inceptionV4.py,def forward(,61
